Country;Overall;Overall mean;Female;Female mean;Male;Male mean
Sudan;126;252;75;267;134;237
Maldives;128;251;99;259;127;242
Lesotho;129;249;57;271;151;227
Mauritania;130;248;82;264;142;232
Sao Tome and Principe;130;248;106;256;131;239
Botswana;132;247;78;266;147;229
Cabo Verde;132;247;114;254;131;239
Cameroon;134;244;123;251;133;238
Namibia;135;243;106;256;147;229
Ghana;136;242;123;251;139;234
Comoros;137;241;123;251;145;23
Thailand;137;241;135;246;136;236
Angola;137;241;135;246;138;235
Haiti;137;241;148;24;127;242
Gambia;141;240;123;251;145;23
Liberia;141;240;131;249;142;232
China;143;239;157;236;127;242
South Korea;143;239;160;234;125;243
Pakistan;145;238;140;244;141;233
Bhutan;145;238;144;242;139;234
Singapore;147;237;165;232;125;243
Côte d'Ivoire;148;236;145;241;142;232
Zimbabwe;149;234;129;25;172;218
Benin;149;234;142;243;153;226
Nigeria;149;234;148;24;150;228
Republic of the Congo;152;233;145;241;155;225
Djibouti;152;233;153;239;151;227
Togo;154;232;148;24;157;224
Philippines;154;232;160;234;147;229
Guinea-Bissau;156;231;153;239;162;222
Tanzania;156;231;148;24;162;222
Senegal;158;230;145;241;172;218
Kenya;158;230;148;24;169;219
Sri Lanka;158;230;159;235;155;225
Indonesia;161;229;160;234;157;224
Sierra Leone;162;228;157;236;168;22
Malawi;162;228;163;233;161;223
Mali;162;228;168;23;153;226
Guinea;165;227;163;233;164;221
Zambia;166;226;155;238;178;215
Myanmar;166;226;165;232;164;221
Laos;166;226;171;227;157;224
Japan;166;226;183;217;136;236
Central African Republic;170;224;165;232;176;216
Mozambique;171;223;168;23;176;216
Chad;171;223;173;225;164;221
Democratic Republic of the Congo;173;222;173;225;172;218
Nepal;173;222;178;22;157;224
Burkina Faso;175;221;178;22;164;221
Uganda;176;220;168;23;185;21
Rwanda;176;220;171;227;182;213
Somalia;178;219;173;225;184;212
India;178;219;177;221;172;218
Cambodia;178;219;178;22;169;219
North Korea;181;218;181;218;169;219
Niger;182;217;176;222;182;213
Vietnam;183;216;184;216;178;215
Afghanistan;183;216;181;218;178;215
Timor-Leste;185;212;188;21;178;215
Madagascar;186;211;186;212;186;209
Bangladesh;187;210;186;212;187;207
Burundi;188;209;185;213;188;204
Ethiopia;189;206;188;21;189;202
Eritrea;190;205;188;21;190;201
